DBField_ID	Field_Description	Field_Table	Prompt	Field_Alias	Field_Options	Field_Reference	Field_Order	Field_Name	Field_Type	Field_Index	NULL_ok	Field_Default	Field_Size	Field_Format	FK_DBTable__ID	Foreign_Key	DBField_Notes	Editable	Tracked	Field_Scope	FK_Package__ID	List_Condition	FKParent_DBField__ID	Parent_Value
689		DBTable	DBTable ID	ID	Primary	DBTable_Name	1	DBTable_ID	int(11)	PRI	NO		20		487		NULL	no	yes	NULL	24	NULL	NULL	NULL
690		DBTable	Name	Name			5	DBTable_Name	varchar(80)	UNI	NO		20	^.{0,80}$	487		NULL	no	yes	NULL	24	NULL	NULL	NULL
691		DBTable	Description	Description			6	DBTable_Description	text		YES		20		487		NULL	no	yes	NULL	24	NULL	NULL	NULL
692		DBTable	Status	Status			7	DBTable_Status	text		YES		20		487		NULL	no	yes	NULL	24	NULL	NULL	NULL
693		DBTable	Status Last Updated	Status_Last_Updated			8	Status_Last_Updated	datetime		NO	0000-00-00 00:00:00	20		487		NULL	no	yes	NULL	24	NULL	NULL	NULL
1723		DBTable	Type	Type			12	DBTable_Type	enum('General','Lab Object','Lab Process','Object Detail','Settings','Dynamic','DB Management','Application Specific','Class','Subclass','Lookup','Join','Imported','Manual Join','Recursive Lookup')		YES		20	^.{0,20}$	487		NULL	no	yes	NULL	24	NULL	NULL	NULL
1724		DBTable	Title	Title			13	DBTable_Title	varchar(80)		NO		20	^.{0,80}$	487		NULL	no	yes	NULL	24	NULL	NULL	NULL
3537		DBTable	Scope	Scope			14	Scope	enum('Core','Lab','Plugin','Option','Custom')		YES		20		487		NULL	no	yes	NULL	24	NULL	NULL	NULL
3538		DBTable	Package Name	Package_Name			15	Package_Name	varchar(40)		YES		20	^.{0,40}$	487		NULL	no	yes	NULL	24	NULL	NULL	NULL
3539		DBTable	Records	Records			16	Records	int(11)		NO		20		487		NULL	no	yes	NULL	24	NULL	NULL	NULL
3609		DBTable	Package	FK_Package__ID			17	FK_Package__ID	int(11)	MUL	NO		20		487	Package.Package_ID	NULL	no	yes	Custom	24	NULL	NULL	NULL
4803		DBField	DBField ID	DBField_ID	Primary	Field_Name	1	DBField_ID	int(11)	PRI	NO		20	NULL	0		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4804		DBField	DBField ID	DBField_ID	Primary	Field_Name	1	DBField_ID	int(11)	PRI	NO		20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4805		DBField	Field Description	Field_Description			5	Field_Description	text		NO		20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4806		DBField	Field Table	Field_Table			6	Field_Table	text		NO		20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4807		DBField	Prompt	Prompt			7	Prompt	varchar(255)		NO		20	^.{0,255}$	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4808		DBField	Field Alias	Field_Alias			8	Field_Alias	varchar(255)		NO		20	^.{0,255}$	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4809		DBField	Field Options	Field_Options			12	Field_Options	set('Hidden','Mandatory','Primary','Unique','NewLink','ViewLink','ListLink','Searchable','Obsolete','ReadOnly','Required','Removed')		YES		20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4810		DBField	Field Reference	Field_Reference			13	Field_Reference	varchar(255)		NO		20	^.{0,255}$	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4811		DBField	Field Order	Field_Order			14	Field_Order	int(11)		NO		20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4812		DBField	Field Name	Field_Name			15	Field_Name	varchar(255)	MUL	NO		20	^.{0,255}$	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4813		DBField	Field Type	Field_Type			16	Field_Type	text		NO		20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4814		DBField	Field Index	Field_Index			17	Field_Index	varchar(255)		NO		20	^.{0,255}$	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4815		DBField	NULL ok	NULL_ok			18	NULL_ok	enum('NO','YES')		NO	YES	20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4816		DBField	Field Default	Field_Default			19	Field_Default	varchar(255)		NO		20	^.{0,255}$	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4817		DBField	Field Size	Field_Size			20	Field_Size	tinyint(4)		YES	20	20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4818		DBField	Field Format	Field_Format			21	Field_Format	varchar(80)		YES		20	^.{0,80}$	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4819		DBField	FK_DBTable__ID	FK_DBTable__ID			22	FK_DBTable__ID	int(11)	MUL	YES		20	NULL	486	DBTable.DBTable_ID	NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4820		DBField	Foreign Key	Foreign_Key			23	Foreign_Key	varchar(255)		YES		20	^.{0,255}$	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4821		DBField	DBField Notes	DBField_Notes			24	DBField_Notes	text		YES		20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4822		DBField	Editable	Editable			25	Editable	enum('yes','admin','no')		YES	yes	20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4823		DBField	Tracked	Tracked			26	Tracked	enum('yes','no')		YES	no	20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4824		DBField	Field Scope	Field_Scope			27	Field_Scope	enum('Core','Optional','Custom')		YES	Custom	20	NULL	486		NULL	yes	no	Custom	NULL	NULL	NULL	NULL
4825		DBField	FK_Package__ID	FK_Package__ID			28	FK_Package__ID	int(11)	MUL	YES		20	NULL	486	Package.Package_ID	NULL	yes	no	Custom	NULL	NULL	NULL	NULL
