Version	Filename	Package
2.5.0.1	Source_Types	Genomic
2.5.0.2	Library_Types	Sequencing
2.5.0.3	Work_Request_Types	Sequencing
2.5.0.4	init_run_batch_table	Illumina
2.5.2.0	1patch.sql	Core
2.5.3.0	2package.sql	Core
2.6.0.0	upgrade_Core_2_6	Core
2.6.0.1	upgrade_Genomic_2_6	Genomic
2.6.0.2	upgrade_Sequencing_2_6	Sequencing
2.6.0.3	upgrade_Microarray_2_6	Microarray
2.6.1.1	install_Biology_2_6	Biology
2.6.1.2	install_Experiment_2_6	Experiment
2.6.1.3	install_Genomic_2_6	Genomic
2.6.1.4	install_Sequencing_2_6	Sequencing
2.6.1.5	install_Fingerprinting_2_6	Fingerprinting
2.6.1.6	install_Help_2_6	Help
2.6.1.7	install_Microarray_2_6	Microarray
2.6.1.8	install_Issue_Tracking_2_6	Issue_Tracking
2.6.1.9	install_SOLID_2_6	SOLID
2.6.1.10	install_Multiwell_Plate_2_6	Multiwell_Plate
2.6.1.11	install_Orders_2_6	Orders
2.6.1.12	install_Software_Analysis_2_6	Software_Analysis
2.6.1.13	install_Spectrophotometer_2_6	Spectrophotometer
2.6.1.15	install_Taxonomy_2_6	Taxonomy
2.6.1.16	install_Subscriptions_2_6	Subscriptions
2.6.1.17	install_Submissions_2_6	Submissions
2.6.1.18	install_Bioanalyzer_2_6	Bioanalyzer
2.6.1.19	install_JIRA_2_6	JIRA
2.6.1.20	install_SRA_2_6	SRA
2.6.1.21	install_Alignment_Analysis_2_6	Alignment_Analysis
2.6.1.22	install_BioSpecimens_2_6	BioSpecimens
2.6.1.23	install_BWA_2_6	BWA
2.6.1.25	install_Capillary_Sequencing_2_6	Capillary_Sequencing
2.6.1.24	install_Cap_Seq_2_6	Cap_Seq
2.6.1.26	install_CLIPR_2_6	CLIPR
2.6.1.27	install_EDACC_2_6	EDACC
2.6.1.28	install_Cluster_2_6	Cluster
2.6.1.29	install_miRNA_2_6	miRNA
2.6.1.30	install_Lab_2_6	Lab
2.6.1.31	install_LS_454_2_6	LS_454
2.6.1.32	install_NCBI_2_6	NCBI
2.6.1.33	install_Indexed_Run_2_6	Indexed_Run
2.6.1.34	install_Illumina_2_6	Illumina
2.6.1.35	install_Patient_2_6	Patient
2.6.6.0	Installation	Core
2.6.7.0	Queue_Core	Core
2.6.8.0	move_plate_class_plus	Core
2.6.8.1	move_plate_class_Multiwell_Plate	Multiwell_Plate
3.0.0.0	upgrade_Core_2_7	Core
2.7.0.1	install_Biology_2_7	Biology
2.7.0.2	install_Experiment_2_7	Experiment
2.7.0.3	install_Genomic_2_7	Genomic
2.7.0.4	install_Sequencing_2_7	Sequencing
2.7.0.5	install_Fingerprinting_2_7	Fingerprinting
2.7.0.6	install_Help_2_7	Help
2.7.0.7	install_Microarray_2_7	Microarray
2.7.0.8	install_Issue_Tracking_2_7	Issue_Tracking
2.7.0.9	install_SOLID_2_7	SOLID
2.7.0.10	install_Multiwell_Plate_2_7	Multiwell_Plate
2.7.0.11	install_Orders_2_7	Orders
2.7.0.12	install_Software_Analysis_2_7	Software_Analysis
2.7.0.13	install_Spectrophotometer_2_7	Spectrophotometer
2.7.0.15	install_Taxonomy_2_7	Taxonomy
2.7.0.16	install_Subscriptions_2_7	Subscriptions
2.7.0.17	install_Funding_Tracking_2_7	Funding_Tracking
2.7.0.18	install_Submissions_2_7	Submissions
2.7.0.19	install_Bioanalyzer_2_7	Bioanalyzer
3.0.1.1	upgrade_Multiwell_Plate_2_7	Multiwell_Plate
2.6.10.0	add_Equipment_Attribute	Core
2.6.11.0	add_Analysis_Software_Attribute	Software_Analysis
2.6.11.1	add_fields_to_SolexaAnalysis	Illumina
2.6.12.0	Add_to_plate_trigger_for_LS	NCBI
2.6.13.0	add_Study_Attribute	Core
3.0.1.0	add_attribute_to_DBField	Core
2.6.14.0	QC_Batch	Core
2.6.15.0	Attribute_Name_Validation	Core
2.6.16.0	install_LS_454_2_6	LS_454
2.6.17.0	add_Meta_Data_Status	Experiment
2.6.18.0	add_Submission_Template	Experiment
2.6.19.0	update_Meta_Data_Status	Experiment
2.6.20.0	update_Submission_Status	Experiment
